mesiac,druh,priemer_eur
2021-12,Vdovecký,129.55
2022-01,Starobný,481.32
2022-01,Predčasný starobný,500.39
2022-01,Invalidný,294.27
2022-01,Vdovský,187.64
2022-01,Vdovecký,131.42
2022-02,Starobný,482.23
2022-02,Predčasný starobný,500.17
2022-02,Invalidný,294.65
2022-02,Vdovský,188.03
2022-02,Vdovecký,132.09
2022-03,Starobný,482.62
2022-03,Predčasný starobný,503.63
2022-03,Invalidný,294.71
2022-03,Vdovský,188.22
2022-03,Vdovecký,132.28
2022-04,Starobný,483.85
2022-04,Predčasný starobný,504.77
2022-04,Invalidný,294.87
2022-04,Vdovský,188.44
2022-04,Vdovecký,132.41
2022-05,Starobný,484.49
2022-05,Predčasný starobný,502.91
2022-05,Invalidný,295.1
2022-05,Vdovský,188.58
2022-05,Vdovecký,132.5
2022-06,Starobný,484.98
2022-06,Predčasný starobný,501.87
2022-06,Invalidný,295.26
2022-06,Vdovský,188.63
2022-06,Vdovecký,132.43
2022-07,Starobný,486.12
2022-07,Predčasný starobný,500.28
2022-07,Invalidný,295.31
2022-07,Vdovský,188.64
2022-07,Vdovecký,132.46
2022-08,Starobný,486.12
2022-08,Predčasný starobný,497.33
2022-08,Invalidný,295.59
2022-08,Vdovský,188.8
2022-08,Vdovecký,132.48
2022-09,Starobný,486.58
2022-09,Predčasný starobný,498.79
2022-09,Invalidný,295.82
2022-09,Vdovský,188.88
2022-09,Vdovecký,132.6
2022-10,Starobný,487.06
2022-10,Predčasný starobný,499.36
2022-10,Invalidný,296.09
2022-10,Vdovský,188.95
2022-10,Vdovecký,132.72
2022-11,Starobný,487.36
2022-11,Predčasný starobný,503.3
2022-11,Invalidný,296.45
2022-11,Vdovský,189.02
2022-11,Vdovecký,132.76
2022-12,Starobný,487.75
2022-12,Predčasný starobný,507.75
2022-12,Invalidný,296.83
2022-12,Vdovský,189.12
2022-12,Vdovecký,132.88
2023-01,Starobný,541.92
2023-01,Predčasný starobný,566.92
2023-01,Invalidný,331.84
2023-01,Vdovský,211.52
2023-01,Vdovecký,148.59
2023-02,Starobný,542.85
2023-02,Predčasný starobný,568.74
2023-02,Invalidný,332.78
2023-02,Vdovský,212.08
2023-02,Vdovecký,149.23
2023-03,Starobný,543.13
2023-03,Predčasný starobný,589.48
2023-03,Invalidný,333.11
2023-03,Vdovský,212.31
2023-03,Vdovecký,149.62
2023-04,Starobný,544.42
2023-04,Predčasný starobný,595.02
2023-04,Invalidný,333.44
