mesiac,druh,pocet
2018-08,Vdovecký,308
2018-09,Starobný,2171
2018-09,Predčasný starobný,1126
2018-09,Invalidný,1405
2018-09,Vdovský,1224
2018-09,Vdovecký,432
2018-10,Starobný,3164
2018-10,Predčasný starobný,1501
2018-10,Invalidný,1800
2018-10,Vdovský,1583
2018-10,Vdovecký,564
2018-11,Starobný,3327
2018-11,Predčasný starobný,1239
2018-11,Invalidný,1929
2018-11,Vdovský,1560
2018-11,Vdovecký,577
2018-12,Starobný,2346
2018-12,Predčasný starobný,765
2018-12,Invalidný,1321
2018-12,Vdovský,640
2018-12,Vdovecký,217
2019-01,Starobný,3793
2019-01,Predčasný starobný,1547
2019-01,Invalidný,2021
2019-01,Vdovský,1302
2019-01,Vdovecký,491
2019-02,Starobný,3541
2019-02,Predčasný starobný,2260
2019-02,Invalidný,1402
2019-02,Vdovský,1202
2019-02,Vdovecký,420
2019-03,Starobný,4106
2019-03,Predčasný starobný,756
2019-03,Invalidný,1406
2019-03,Vdovský,1144
2019-03,Vdovecký,409
2019-04,Starobný,4047
2019-04,Predčasný starobný,594
2019-04,Invalidný,1588
2019-04,Vdovský,1088
2019-04,Vdovecký,401
2019-05,Starobný,6095
2019-05,Predčasný starobný,886
2019-05,Invalidný,2411
2019-05,Vdovský,1877
2019-05,Vdovecký,682
2019-06,Starobný,4343
2019-06,Predčasný starobný,890
2019-06,Invalidný,1797
2019-06,Vdovský,1546
2019-06,Vdovecký,561
2019-07,Starobný,3774
2019-07,Predčasný starobný,1017
2019-07,Invalidný,1976
2019-07,Vdovský,1375
2019-07,Vdovecký,528
2019-08,Starobný,2882
2019-08,Predčasný starobný,995
2019-08,Invalidný,1431
2019-08,Vdovský,991
2019-08,Vdovecký,366
2019-09,Starobný,4083
2019-09,Predčasný starobný,949
2019-09,Invalidný,1579
2019-09,Vdovský,1288
2019-09,Vdovecký,513
2019-10,Starobný,4459
2019-10,Predčasný starobný,751
2019-10,Invalidný,1592
2019-10,Vdovský,1306
2019-10,Vdovecký,463
2019-11,Starobný,3397
2019-11,Predčasný starobný,435
2019-11,Invalidný,1697
2019-11,Vdovský,1005
2019-11,Vdovecký,354
2019-12,Starobný,2200
2019-12,Predčasný starobný,432
2019-12,Invalidný,1653
2019-12,Vdovský,1029
2019-12,Vdovecký,375
2020-01,Starobný,2425
2020-01,Predčasný starobný,781
2020-01,Invalidný,1623
2020-01,Vdovský,1161
2020-01,Vdovecký,383
2020-02,Starobný,2422
2020-02,Predčasný starobný,1217
2020-02,Invalidný,1274
2020-02,Vdovský,1162
2020-02,Vdovecký,392
2020-03,Starobný,2174
2020-03,Predčasný starobný,803
2020-03,Invalidný,1091
2020-03,Vdovský,835
2020-03,Vdovecký,317
2020-04,Starobný,2613
2020-04,Predčasný starobný,997
2020-04,Invalidný,1382
2020-04,Vdovský,888
2020-04,Vdovecký,342
2020-05,Starobný,3513
2020-05,Predčasný starobný,1185
2020-05,Invalidný,1280
2020-05,Vdovský,1040
2020-05,Vdovecký,383
2020-06,Starobný,3727
2020-06,Predčasný starobný,1043
2020-06,Invalidný,1529
2020-06,Vdovský,1315
2020-06,Vdovecký,437
2020-07,Starobný,3785
2020-07,Predčasný starobný,1056
2020-07,Invalidný,1828
2020-07,Vdovský,1386
2020-07,Vdovecký,480
2020-08,Starobný,3000
2020-08,Predčasný starobný,705
2020-08,Invalidný,1387
2020-08,Vdovský,964
2020-08,Vdovecký,365
2020-09,Starobný,2795
2020-09,Predčasný starobný,1017
2020-09,Invalidný,1492
2020-09,Vdovský,1276
2020-09,Vdovecký,464
2020-10,Starobný,4317
2020-10,Predčasný starobný,1736
2020-10,Invalidný,2127
2020-10,Vdovský,1873
2020-10,Vdovecký,688
2020-11,Starobný,4000
2020-11,Predčasný starobný,1085
2020-11,Invalidný,1873
2020-11,Vdovský,1334
2020-11,Vdovecký,513
2020-12,Starobný,2350
2020-12,Predčasný starobný,613
2020-12,Invalidný,1392
2020-12,Vdovský,333
2020-12,Vdovecký,104
2021-01,Starobný,2494
2021-01,Predčasný starobný,467
2021-01,Invalidný,1228
2021-01,Vdovský,800
2021-01,Vdovecký,261
2021-02,Starobný,1688
2021-02,Predčasný starobný,355
2021-02,Invalidný,717
2021-02,Vdovský,800
2021-02,Vdovecký,275
2021-03,Starobný,3765
2021-03,Predčasný starobný,1281
2021-03,Invalidný,1075
2021-03,Vdovský,1556
2021-03,Vdovecký,536
2021-04,Starobný,4182
2021-04,Predčasný starobný,807
2021-04,Invalidný,1024
2021-04,Vdovský,1041
2021-04,Vdovecký,363
2021-05,Starobný,5313
2021-05,Predčasný starobný,1094
2021-05,Invalidný,1519
2021-05,Vdovský,2139
2021-05,Vdovecký,683
2021-06,Starobný,6017
2021-06,Predčasný starobný,1106
2021-06,Invalidný,1780
2021-06,Vdovský,2638
2021-06,Vdovecký,876
2021-07,Starobný,4529
2021-07,Predčasný starobný,783
2021-07,Invalidný,1696
2021-07,Vdovský,2208
2021-07,Vdovecký,751
2021-08,Starobný,4980
2021-08,Predčasný starobný,1172
2021-08,Invalidný,1819
2021-08,Vdovský,2120
2021-08,Vdovecký,818
2021-09,Starobný,4781
2021-09,Predčasný starobný,1448
2021-09,Invalidný,1861
2021-09,Vdovský,1627
2021-09,Vdovecký,599
2021-10,Starobný,5420
2021-10,Predčasný starobný,1371
2021-10,Invalidný,1488
2021-10,Vdovský,1742
2021-10,Vdovecký,603
2021-11,Starobný,4262
2021-11,Predčasný starobný,1257
2021-11,Invalidný,1506
2021-11,Vdovský,1335
2021-11,Vdovecký,490
2021-12,Starobný,2647
2021-12,Predčasný starobný,937
2021-12,Invalidný,1627
2021-12,Vdovský,566
2021-12,Vdovecký,203
2022-01,Starobný,3641
2022-01,Predčasný starobný,1098
2022-01,Invalidný,1764
2022-01,Vdovský,1772
2022-01,Vdovecký,646
2022-02,Starobný,3493
2022-02,Predčasný starobný,1418
2022-02,Invalidný,1547
2022-02,Vdovský,2210
2022-02,Vdovecký,823
2022-03,Starobný,3562
2022-03,Predčasný starobný,973
2022-03,Invalidný,1271
2022-03,Vdovský,2146
2022-03,Vdovecký,793
2022-04,Starobný,2908
2022-04,Predčasný starobný,683
2022-04,Invalidný,1008
2022-04,Vdovský,1157
2022-04,Vdovecký,425
2022-05,Starobný,7211
2022-05,Predčasný starobný,1362
2022-05,Invalidný,2277
2022-05,Vdovský,2821
2022-05,Vdovecký,1004
2022-06,Starobný,5763
2022-06,Predčasný starobný,1159
2022-06,Invalidný,2068
2022-06,Vdovský,1933
2022-06,Vdovecký,695
2022-07,Starobný,3708
2022-07,Predčasný starobný,724
2022-07,Invalidný,1543
2022-07,Vdovský,1056
2022-07,Vdovecký,390
2022-08,Starobný,3810
2022-08,Predčasný starobný,1106
2022-08,Invalidný,1484
2022-08,Vdovský,1134
2022-08,Vdovecký,422
2022-09,Starobný,4146
2022-09,Predčasný starobný,1115
2022-09,Invalidný,1346
2022-09,Vdovský,1380
2022-09,Vdovecký,523
2022-10,Starobný,4570
2022-10,Predčasný starobný,1108
2022-10,Invalidný,1383
2022-10,Vdovský,1625
2022-10,Vdovecký,546
2022-11,Starobný,4039
2022-11,Predčasný starobný,981
2022-11,Invalidný,1565
2022-11,Vdovský,1241
2022-11,Vdovecký,389
2022-12,Starobný,2423
2022-12,Predčasný starobný,858
2022-12,Invalidný,1236
2022-12,Vdovský,418
2022-12,Vdovecký,152
2023-01,Starobný,3655
2023-01,Predčasný starobný,962
2023-01,Invalidný,1977
2023-01,Vdovský,1766
2023-01,Vdovecký,617
2023-02,Starobný,2606
2023-02,Predčasný starobný,2052
2023-02,Invalidný,1383
2023-02,Vdovský,1393
2023-02,Vdovecký,489
2023-03,Starobný,2940
2023-03,Predčasný starobný,1497
2023-03,Invalidný,1766
2023-03,Vdovský,1694
2023-03,Vdovecký,611
2023-04,Starobný,3297
2023-04,Predčasný starobný,930
2023-04,Invalidný,1415
2023-04,Vdovský,943
2023-04,Vdovecký,378
2023-05,Starobný,5041
2023-05,Predčasný starobný,1392
2023-05,Invalidný,1985
2023-05,Vdovský,1487
2023-05,Vdovecký,530
2023-06,Starobný,4581
2023-06,Predčasný starobný,1119
2023-06,Invalidný,1791
2023-06,Vdovský,1410
2023-06,Vdovecký,526
2023-07,Starobný,2061
2023-07,Predčasný starobný,386
2023-07,Invalidný,955
2023-07,Vdovský,451
2023-07,Vdovecký,151
2023-08,Starobný,5041
2023-08,Predčasný starobný,1803
2023-08,Invalidný,2024
2023-08,Vdovský,1141
2023-08,Vdovecký,389
2023-09,Starobný,4612
2023-09,Predčasný starobný,2029
2023-09,Invalidný,1539
2023-09,Vdovský,1433
2023-09,Vdovecký,516
2023-10,Starobný,4331
2023-10,Predčasný starobný,1872
2023-10,Invalidný,1134
2023-10,Vdovský,1292
2023-10,Vdovecký,494
2023-11,Starobný,3146
2023-11,Predčasný starobný,1692
2023-11,Invalidný,1115
2023-11,Vdovský,732
2023-11,Vdovecký,289
2023-12,Starobný,2519
2023-12,Predčasný starobný,2030
2023-12,Invalidný,1149
2023-12,Vdovský,417
2023-12,Vdovecký,144
2024-01,Starobný,3880
2024-01,Predčasný starobný,4972
2024-01,Invalidný,1766
2024-01,Vdovský,1218
2024-01,Vdovecký,472
2024-02,Starobný,3054
2024-02,Predčasný starobný,7276
2024-02,Invalidný,1473
2024-02,Vdovský,1356
2024-02,Vdovecký,464
2024-03,Starobný,1998
2024-03,Predčasný starobný,6527
2024-03,Invalidný,1054
2024-03,Vdovský,1291
2024-03,Vdovecký,439
2024-04,Starobný,3009
2024-04,Predčasný starobný,9002
2024-04,Invalidný,1453
2024-04,Vdovský,2053
2024-04,Vdovecký,678
2024-05,Starobný,5564
2024-05,Predčasný starobný,3624
2024-05,Invalidný,3155
2024-05,Vdovský,1799
2024-05,Vdovecký,672
2024-06,Starobný,4210
2024-06,Predčasný starobný,2549
2024-06,Invalidný,2687
2024-06,Vdovský,1299
2024-06,Vdovecký,506
2024-07,Starobný,3218
2024-07,Predčasný starobný,3321
2024-07,Invalidný,1837
2024-07,Vdovský,1002
2024-07,Vdovecký,376
2024-08,Starobný,4072
2024-08,Predčasný starobný,1049
2024-08,Invalidný,2166
2024-08,Vdovský,1349
2024-08,Vdovecký,485
2024-09,Starobný,4661
2024-09,Predčasný starobný,887
2024-09,Invalidný,2134
2024-09,Vdovský,1770
2024-09,Vdovecký,636
2024-10,Starobný,4203
2024-10,Predčasný starobný,926
2024-10,Invalidný,1977
2024-10,Vdovský,1371
2024-10,Vdovecký,496
2024-11,Starobný,3575
2024-11,Predčasný starobný,965
2024-11,Invalidný,1828
2024-11,Vdovský,1371
2024-11,Vdovecký,500
2024-12,Starobný,2015
2024-12,Predčasný starobný,768
2024-12,Invalidný,1309
2024-12,Vdovský,365
2024-12,Vdovecký,126
2025-01,Starobný,3362
2025-01,Predčasný starobný,2964
2025-01,Invalidný,1495
2025-01,Vdovský,1343
