mesiac,druh,pocet,priemer_eur,vydavky_tis_eur
2021-12,Starobný,1096225,475.49,562380
2021-12,Predčasný starobný,11992,495.75,8368
2021-12,Invalidný,227426,290.61,72532
2021-12,Vdovský,288423,185.08,56843
2021-12,Vdovecký,50459,129.55,7144
2022-01,Starobný,1096396,481.32,515384
2022-01,Predčasný starobný,11409,500.39,7223
2022-01,Invalidný,226723,294.27,65585
2022-01,Vdovský,288007,187.64,51733
2022-01,Vdovecký,50436,131.42,6536
2022-02,Starobný,1090307,482.23,538119
2022-02,Predčasný starobný,12332,500.17,8064
2022-02,Invalidný,226446,294.65,67832
2022-02,Vdovský,286059,188.03,54394
2022-02,Vdovecký,50223,132.09,6872
2022-03,Starobný,1091552,482.62,549398
2022-03,Predčasný starobný,12429,503.63,7770
2022-03,Invalidný,225975,294.71,68947
2022-03,Vdovský,286838,188.22,55515
2022-03,Vdovecký,50645,132.28,7035
2022-04,Starobný,1091009,483.85,566845
2022-04,Predčasný starobný,12212,504.77,7628
2022-04,Invalidný,225259,294.87,70647
2022-04,Vdovský,286839,188.44,57114
2022-04,Vdovecký,50790,132.41,7257
2022-05,Starobný,1092380,484.49,519419
2022-05,Predčasný starobný,11891,502.91,7303
2022-05,Invalidný,224651,295.1,65573
2022-05,Vdovský,287127,188.58,52096
2022-05,Vdovecký,51052,132.5,6698
2022-06,Starobný,1096369,484.98,556366
2022-06,Predčasný starobný,11806,501.87,7484
2022-06,Invalidný,224577,295.26,69838
2022-06,Vdovský,288140,188.63,55861
2022-06,Vdovecký,51465,132.43,7183
2022-07,Starobný,1099296,486.12,541858
2022-07,Predčasný starobný,11446,500.28,6790
2022-07,Invalidný,224238,295.31,66892
2022-07,Vdovský,288612,188.64,54234
2022-07,Vdovecký,51716,132.46,6936
2022-08,Starobný,1099287,486.12,576284
