mesiac,druh,vydavky_tis_eur
2021-07,Invalidný,72653
2021-07,Vdovský,57090
2021-07,Vdovecký,7075
2021-07,Sirotský,3068
2021-08,Starobný,534038
2021-08,Predčasný starobný,6954
2021-08,Invalidný,67905
2021-08,Vdovský,53994
2021-08,Vdovecký,6715
2021-08,Sirotský,2959
2021-09,Starobný,513206
2021-09,Predčasný starobný,7479
2021-09,Invalidný,65366
2021-09,Vdovský,51795
2021-09,Vdovecký,6470
2021-09,Sirotský,2779
2021-10,Starobný,561207
2021-10,Predčasný starobný,8303
2021-10,Invalidný,71234
2021-10,Vdovský,56656
2021-10,Vdovecký,7072
2021-10,Sirotský,3365
2021-11,Starobný,505125
2021-11,Predčasný starobný,7410
2021-11,Invalidný,64103
2021-11,Vdovský,51123
2021-11,Vdovecký,6400
2021-11,Sirotský,3177
2021-12,Starobný,562380
2021-12,Predčasný starobný,8368
2021-12,Invalidný,72532
2021-12,Vdovský,56843
2021-12,Vdovecký,7144
2021-12,Sirotský,3650
2022-01,Starobný,515384
2022-01,Predčasný starobný,7223
2022-01,Invalidný,65585
2022-01,Vdovský,51733
2022-01,Vdovecký,6536
2022-01,Sirotský,3346
2022-02,Starobný,538119
2022-02,Predčasný starobný,8064
2022-02,Invalidný,67832
2022-02,Vdovský,54394
2022-02,Vdovecký,6872
2022-02,Sirotský,3499
2022-03,Starobný,549398
2022-03,Predčasný starobný,7770
2022-03,Invalidný,68947
2022-03,Vdovský,55515
2022-03,Vdovecký,7035
2022-03,Sirotský,3596
2022-04,Starobný,566845
2022-04,Predčasný starobný,7628
2022-04,Invalidný,70647
