mesiac,druh,pocet
2023-10,Vdovský,288387
2023-10,Vdovecký,52906
2023-11,Starobný,1116955
2023-11,Predčasný starobný,14964
2023-11,Invalidný,220880
2023-11,Vdovský,288635
2023-11,Vdovecký,53062
2023-12,Starobný,1118242
2023-12,Predčasný starobný,15427
2023-12,Invalidný,220349
2023-12,Vdovský,288365
2023-12,Vdovecký,53045
2024-01,Starobný,1118247
2024-01,Predčasný starobný,16667
2024-01,Invalidný,220538
2024-01,Vdovský,288325
2024-01,Vdovecký,53083
2024-02,Starobný,1113744
2024-02,Predčasný starobný,23749
2024-02,Invalidný,220373
2024-02,Vdovský,286484
2024-02,Vdovecký,52715
2024-03,Starobný,1115298
2024-03,Predčasný starobný,29102
2024-03,Invalidný,219272
2024-03,Vdovský,286744
2024-03,Vdovecký,52905
2024-04,Starobný,1115164
2024-04,Predčasný starobný,35045
2024-04,Invalidný,217837
2024-04,Vdovský,286852
2024-04,Vdovecký,52997
2024-05,Starobný,1117144
2024-05,Predčasný starobný,40258
2024-05,Invalidný,216287
2024-05,Vdovský,287454
2024-05,Vdovecký,53272
2024-06,Starobný,1121502
2024-06,Predčasný starobný,40869
2024-06,Invalidný,216931
2024-06,Vdovský,287936
2024-06,Vdovecký,53509
2024-07,Starobný,1124218
2024-07,Predčasný starobný,42149
2024-07,Invalidný,217321
2024-07,Vdovský,288139
2024-07,Vdovecký,53699
2024-08,Starobný,1125907
2024-08,Predčasný starobný,42741
2024-08,Invalidný,217388
2024-08,Vdovský,288015
2024-08,Vdovecký,53737
2024-09,Starobný,1127657
2024-09,Predčasný starobný,41907
2024-09,Invalidný,217721
2024-09,Vdovský,288001
2024-09,Vdovecký,53850
2024-10,Starobný,1129519
